Genes,EC-Log2fC,PC-Log2fC,AC-Log2fC,MC-Log2fC,M_Log2FC,S_Log2FC,GB_log2FC,Contra-Endo-1,Contra-Endo-2,Contra-Endo-3,Contra-Endo-4,Contra-Endo-5,Ipsi-Endo-1,Ipsi-Endo-2,Ipsi-Endo-3,Ipsi-Endo-4,Ipsi-Endo-5,Contra-Peri-1,Contra-Peri-2,Contra-Peri-3,Contra-Peri-4,Contra-Peri-5,Contra-Peri-6,Ipsi-Peri-1,Ipsi-Peri-2,Ipsi-Peri-3,Ipsi-Peri-4,Ipsi-Peri-5,Ipsi-Peri-6,Contra-Astro-1,Contra-Astro-2,Contra-Astro-3,Contra-Astro-4,Contra-Astro-5,Contra-Astro-6,Ipsi-Astro-1,Ipsi-Astro-2,Ipsi-Astro-3,Ipsi-Astro-4,Ipsi-Astro-5,Ipsi-Astro-6,Contra-MG-1,Contra-MG-2,Contra-MG-3,Contra-MG-4,Contra-MG-5,Contra-MG-6,Ipsi-MG-1,Ipsi-MG-2,Ipsi-MG-3,Ipsi-MG-4,Ipsi-MG-5,Ipsi-MG-6,H1,H2,H3,H4,M1,M2,M3,M4,S-SHAM-1,S-SHAM-2,S-SHAM-3,STROKE-1,STROKE-2,STROKE-3,GB-SHAM-1,GB-SHAM-2,GB-SHAM-3,GB-1,GB-2,GB-3,GeneID,MSG_Regulated,Control-EC-exp,EC-EXP,EC-Regulated,Control-PC-exp,PC-EXP,PC-Regulated,Control-AC-exp,AC-EXP,AC-Regulated,Control-MC-exp,MC-EXP,MC-Regulated
Aatf,#N/A,1.266095601,#N/A,-1.001897214,0.5333640501,0.8244038026,1.726264076,248.8839902,102.113915,266.0913759,371.2582629,187.6811653,174.2910934,351.6027326,371.0335408,417.6544506,322.9925253,387.6841003,275.3836669,285.590262,235.6268221,156.4802197,285.3603478,586.4001658,572.6511548,466.369085,739.9101337,748.5866669,790.6340152,293.7305273,251.3468374,265.5489582,371.7769842,210.1549198,314.7693413,439.690071,533.4089521,224.9948291,350.1136252,264.7481231,308.3238333,515.1514861,574.589408,751.239412,644.4150843,890.9225675,727.6612146,290.4660534,443.2599047,438.0848091,470.4103964,174.031476,232.8244526,268.9993118,304.5588262,286.590951,232.6318076,423.4595908,400.5050062,388.5777029,369.425204,223.4323706,260.0663703,203.2098157,455.3554829,407.3466722,356.4491136,80.2164917,130.2318021,116.4671429,360.508175,392.0008393,328.2787805,ENSMUSG00000018697,1,1,1,0,1,1,1,1,1,0,1,1,1
Zbtb4,#N/A,-1.565646192,#N/A,0.8229360613,-0.6718709789,-0.5122853874,-1.001448402,586.7227145,1063.186056,449.7571405,973.4635674,463.9895475,608.9249496,418.0595128,262.2823306,416.6943254,281.9776014,386.4801124,619.6132506,672.4908311,1129.003412,699.5586294,483.4767677,186.5818709,419.6040756,180.3293795,195.1132887,221.8864671,145.8298034,309.8008905,353.3578969,302.1764008,478.7869767,199.4327301,215.5647859,339.6226755,226.2636822,259.369039,172.4697661,213.8681907,166.565749,421.676418,427.95506,393.3081686,251.1466643,354.2917464,386.950278,772.7897583,564.5195108,514.0589764,648.9669438,773.6143715,680.796881,3054.069773,3134.599724,3559.532166,3483.091142,2092.596145,2083.489655,2007.859706,2121.298732,3917.11165,3685.889812,3501.703164,2530.658476,2358.97709,2895.334706,1989.198321,2263.968707,2054.056885,740.6804323,1395.665858,1010.390977,ENSMUSG00000018750,1,1,1,0,1,1,1,1,1,0,1,1,1
Cd68,#N/A,6.144029524,#N/A,-2.758503077,0.6428331819,0.8376997096,0.960558563,725.8327774,2728.243541,878.9078781,407.8611903,47.96296446,3558.017759,3111.104619,5904.551003,1044.616189,64.59850505,83.07516435,1621.523827,448.0360991,36.09602382,27.61415642,18.17581833,28050.99152,49787.49027,21121.33767,24560.62428,18767.71024,15780.36127,842.8012698,1316.67883,80.37688774,301.1724531,75.05532852,240.9253489,471.0243059,2772.49797,3116.595039,1373.721687,81.06294323,157.1152101,23755.13062,21548.73207,18623.87013,20144.29872,19657.99872,20703.86791,1151.145909,3070.211708,8884.044192,5222.552416,26.67635764,33.83782717,253.5395813,444.1846491,381.6375702,405.9653113,624.6028964,432.8908558,638.4669009,623.0027831,234.5033439,378.1982131,406.4196314,538.0415168,502.9679567,779.9069379,59.73568531,76.23325004,63.52753251,135.0266983,109.8316702,144.4819782,ENSMUSG00000018774,1,1,1,0,1,1,1,1,1,0,1,1,1
Lsp1,#N/A,2.951258816,#N/A,-2.445204487,1.463958615,1.676305099,3.77203568,124.9151586,210.2345309,72.57037526,1.74299654,4.170692562,339.101918,144.5048593,427.3282849,125.7763978,6.152238576,258.8573962,186.2889512,115.2841425,67.17871099,1.022746534,33.62526392,1148.096112,1564.906385,337.8584927,434.1481835,957.7725619,677.1232493,172.3100054,261.8634414,32.55772668,124.6611253,53.61094894,26.85236087,137.466321,210.9064187,243.7443981,131.9393711,78.47582802,80.32958108,1997.25062,2670.917494,1945.730887,1703.514196,2240.000911,1797.655799,62.16616641,297.5445797,1243.213647,652.5924574,0,13.13109711,84.25553158,93.37476906,68.92693758,93.96500463,188.2042626,278.5183062,261.1342119,208.5257249,89.57423865,146.3424321,181.2128769,524.0664125,341.3679858,468.130298,38.40151199,69.8804792,43.52812413,507.3333227,772.3934534,806.9367628,ENSMUSG00000018819,1,0,0,0,0,1,1,1,1,0,1,0,1
Rars1,#N/A,1.1251811,#N/A,#N/A,1.299826555,1.036745481,1.357604523,652.0192746,176.597006,347.6210568,575.1888581,548.4460719,1762.600722,1016.170535,780.4498617,763.2995132,869.5163855,536.9785985,941.9741313,376.4201925,410.0909372,376.3707246,432.5844764,1116.24067,822.6280509,1260.232905,1395.35564,955.5312844,1158.755735,422.2934329,307.084839,344.908417,325.4427606,413.8765258,889.8574034,675.2022239,749.4344586,457.2811572,583.8101584,632.9808546,776.1255113,739.4916493,975.3899591,619.0961913,826.4477441,772.0559555,782.0127212,809.2319937,631.7727378,1314.254427,1052.305338,564.0144187,621.706944,1014.931312,1185.946833,1115.165295,1307.29953,2524.289672,2455.926925,3099.875501,3301.657311,806.1681479,818.1070904,847.4058809,1877.322349,1753.694359,1441.617956,333.6664708,424.8415497,405.8703466,1283.409103,830.4345799,872.7890931,ENSMUSG00000018848,1,1,1,0,1,1,1,1,1,0,1,1,0
Ccl6,#N/A,6.263901125,#N/A,#N/A,2.982730629,2.399590147,4.013058425,493.0363455,2047.083661,158.5797089,159.4841834,9.384058265,1877.093198,1442.730334,3535.054046,1358.577121,17.43134263,14.44785467,539.4280064,41.92150635,11.02934061,0,0,7212.331973,20342.50761,7797.691101,5309.446462,2708.95734,3290.235672,247.3050336,593.1364698,48.83659002,108.1131883,7.505532852,26.85236087,191.037755,1243.938343,2300.988784,852.0006447,45.70570204,98.04934161,4833.699629,3966.730658,3352.483913,2528.015066,2721.237583,2985.276778,536.9870581,927.2793409,4640.344273,4366.931194,0,41.41346012,96.62331604,143.9891299,146.5604357,89.40359664,665.7725789,837.7139752,1371.891697,895.8882996,140.9032968,177.1977642,270.2481054,1138.971003,960.0376969,1002.33863,11.09377013,32.55795054,25.88158732,329.0456434,508.0830924,283.0667329,ENSMUSG00000018927,1,0,1,0,0,1,1,0,0,0,1,0,0
Ccl9,#N/A,7.519669211,#N/A,#N/A,4.425744094,2.133628987,2.352581636,180.7484491,950.2600798,94.07270867,50.54689965,18.76811653,2003.253696,1598.826492,5509.208368,802.6646453,7.177611673,19.26380623,436.5641073,52.40188294,19.05067924,8.181972274,0,20717.08878,40232.25095,17431.84002,12218.65296,3199.050008,4545.94852,135.7052892,391.2176715,8.13943167,40.81824456,16.08328468,9.696685871,284.029678,1409.796789,2678.063451,835.6160169,24.14640862,56.7032337,3209.310669,2703.502905,2830.154017,2116.251349,1817.620523,2410.124268,1415.888031,1435.754496,5823.370593,4132.179185,0,0,49.47113781,70.68557284,87.06560536,46.52636151,978.6621654,1137.822848,1697.9971,1655.333841,116.7484459,144.5792703,469.268028,1223.986221,917.0081189,1063.763282,39.25487892,64.32180472,58.82178937,230.725232,365.2126271,230.9745911,ENSMUSG00000019122,1,1,0,0,0,1,1,0,1,0,1,0,0
Scrn1,#N/A,#N/A,#N/A,#N/A,-0.8544215144,-0.7184746525,-1.636349133,81.38411846,2.402680353,188.1454173,308.5103875,133.462162,154.6013046,193.1883146,95.95695021,27.84363004,112.7910406,0,158.7505845,95.19675401,82.21872091,20.45493068,19.99340017,9.10155468,0,0,36.31978967,0,0.7882692075,710.6671724,598.3947718,822.0825987,786.5786046,1331.695972,2131.779094,400.2695819,766.8393573,643.7352053,1043.442085,1319.428757,1606.591622,0,74.94644452,1.0404978,0,85.39931346,6.489732126,55.73518368,120.2406178,0,0,1.270302745,11.11092832,698.0068351,397.0609338,462.1732551,302.8774906,336.4151194,290.3931177,208.6574803,193.0793749,357.2905025,340.2902337,374.9954331,189.8285005,225.6662315,234.5304873,621.2511272,487.5751617,930.5607078,225.4814767,233.950387,195.5912495,ENSMUSG00000019124,1,0,1,0,0,1,0,1,1,0,0,0,0
Atp6v0a1,#N/A,#N/A,#N/A,-0.4553417313,-0.6333173323,-0.3608500108,-0.9164886009,2340.266569,240.2680353,1894.893132,1611.400301,2108.28509,248.6747399,1812.106391,1468.781051,1460.350389,1505.247705,2084.103036,1980.332546,2026.20614,3206.530116,2682.664159,2119.300418,3318.166792,706.5673491,2416.828236,3519.641013,3005.553055,2948.915105,4707.723618,3111.863145,2895.602817,3708.944276,4188.087331,2488.318774,3027.291408,3090.905233,3345.756439,2623.265143,4280.8133,3248.622764,3025.476369,3190.111704,2771.88614,3377.825291,3309.800419,3115.07142,2792.118336,2393.603486,2405.51974,2411.872957,1991.834704,1713.103131,2325.916464,2271.537606,2310.866276,2335.440892,1520.925697,1754.233518,1350.651115,1330.960491,2226.272089,2047.030888,2283.491743,1654.885271,1669.547628,1779.453538,3237.674144,3185.120478,3542.248156,1388.284209,2151.093444,1735.74948,ENSMUSG00000019302,1,1,1,0,1,1,0,1,1,0,1,1,1
Akt3,#N/A,-4.936010886,#N/A,4.506536021,1.413763093,-0.4457176171,-0.6076366319,475.0561333,264.2948389,285.8018482,413.0901799,409.7705442,307.7441063,223.3256917,115.1483402,427.2557023,293.2567055,473.1672404,837.4903283,886.4651864,1015.702003,546.1466493,607.9811233,20.80355355,91.82824754,8.291005956,6.757170171,12.70057219,3.15307683,108.9213505,104.1143803,97.67318004,133.4866917,80.41642341,85.0324761,107.1428679,83.95304045,102.0809873,57.77737165,119.8696714,68.51640739,19.73362547,1.086180355,36.41742302,13.62811357,51.93201494,31.63744411,832.8122638,737.7475196,402.5644192,336.2663912,534.7974555,663.6254463,2396.258238,2642.418698,2093.202262,2568.984981,5917.847781,5263.780081,7464.190344,7199.286293,2071.278462,1643.266828,1778.609624,1283.380415,1320.52994,1427.657808,3915.247489,4504.908619,4312.813596,2691.357394,3051.177376,2612.470056,ENSMUSG00000019699,1,1,1,0,1,1,1,1,1,0,0,1,1
Mrpl24,#N/A,0.8074472205,#N/A,#N/A,0.3871859388,0.3825758127,0.8421777357,346.3556669,729.2134873,291.1774316,253.6059965,226.2600715,312.1196149,349.2844728,371.0335408,322.6020584,241.9880507,227.553711,319.1210729,192.1402375,285.7601885,205.5720534,204.4779563,397.8679617,757.5830422,466.369085,271.9760994,366.8224086,254.610954,477.6469061,387.0110299,338.8038433,373.9833758,318.4490367,416.2115935,421.4959991,261.0734794,343.7420999,304.4091372,287.1697883,350.8512585,388.4408383,295.4410567,529.6133804,376.7199964,505.4716121,399.1185257,468.389909,393.3294787,361.1239643,255.5987125,303.602356,219.1883133,544.1825159,666.7133043,527.4724591,629.4743028,786.9290729,726.5225584,824.6343534,756.8711497,440.8260284,455.7773338,425.2741504,579.9668298,576.5963458,567.7126875,110.9377013,132.6140912,102.3499135,242.5236814,192.8751282,187.7282847,ENSMUSG00000019710,1,1,1,0,1,1,1,1,1,0,1,1,0
Aig1,#N/A,0.7749207902,#N/A,1.450141299,1.190737744,0.9171946849,1.610328638,778.8270871,1617.003878,970.2927951,1083.272349,526.549936,1806.355809,1377.046307,1750.254772,1461.310515,1115.605929,593.5660293,658.4909448,898.6922924,651.7337633,945.0177976,809.7327068,892.6024697,2532.929161,1264.378408,1217.979923,930.13014,964.0532408,1761.490366,1333.505397,1336.901652,1782.764411,1850.649957,2640.482153,1182.614674,1566.440877,2141.617447,1779.887986,1780.797636,2258.678809,654.3254762,558.2967027,432.847085,362.1184462,566.6359853,458.3373314,1152.217739,1139.228905,1132.705768,887.3444664,2047.728025,1924.715811,750.569919,915.4218013,788.6692752,858.456984,1853.811986,1894.572199,2020.354166,1790.489403,559.5873786,610.9355751,666.193004,1119.172939,1427.625778,921.3697715,335.3732047,412.136008,302.3439973,1515.445274,758.9993472,938.6414233,ENSMUSG00000019806,1,1,1,0,1,1,1,1,1,0,1,1,1
Ltv1,1.171758388,1.403220857,#N/A,#N/A,1.364700203,1.364220708,0.6831177429,309.4489155,222.2479327,364.6437374,171.6851592,269.0096702,329.6216494,652.9765034,852.0977178,564.5536022,615.2238576,617.6457871,197.6282786,90.82993043,309.8242044,243.4136751,229.015311,821.0902543,720.5966647,729.6085241,685.0081261,685.8308984,818.2234374,235.6986602,369.132803,334.7341274,307.7916279,269.1269637,294.6300707,343.6658026,514.9802359,522.904649,668.3203438,349.2605533,381.5655101,620.0512846,600.6577365,572.2737903,632.7338441,1172.509493,788.5024533,425.5166908,725.5196601,804.1421608,874.6551686,551.3113912,605.5455937,332.3842072,449.4206174,390.3441307,473.4741495,992.7774851,903.5652027,1080.770781,1258.877524,243.561413,310.3164826,299.5773571,826.8603397,711.4223571,661.7110177,156.1661487,209.6414376,218.8170564,343.4659704,353.6044018,240.8032971,ENSMUSG00000019814,1,1,1,1,1,1,1,1,1,0,1,1,0
Utrn,#N/A,-5.612120411,#N/A,4.655903131,-0.709117744,-0.855264361,-0.9394518815,5503.837592,5717.177901,5765.313146,6470.003155,8302.806218,2259.950202,3308.929453,2131.523721,3344.11598,6047.650521,7586.327689,3931.506822,6558.09565,7874.949196,12246.367,11279.91286,84.51443631,173.4533565,172.0383736,213.6955066,92.63946776,275.8942226,766.0206456,484.8154478,769.1762928,495.3349137,776.2865407,764.546386,599.393591,530.3374994,462.4893708,389.7816715,535.5328484,548.1312591,175.5254055,166.1855944,204.9780667,269.6419613,206.574015,256.344419,3311.956107,3629.636277,3073.500406,3026.397521,11008.44359,8208.955863,13062.69934,11136.03204,13188.98812,11241.13385,7188.226554,7087.103412,6959.414164,8513.513238,16340.75662,12809.37072,14770.42068,7847.021083,7735.76192,8693.449531,33433.2097,40485.41444,37649.4745,14963.05567,22826.23566,20381.78764,ENSMUSG00000019820,1,1,1,0,1,1,1,1,1,0,1,1,1
Rab32,#N/A,5.636983428,#N/A,#N/A,1.314219066,1.168327066,2.510135405,289.5760494,198.2211292,129.909931,267.5499688,53.17633017,313.5781178,240.3262634,1079.835546,148.8194019,48.19253552,69.83129757,113.3932746,75.10936555,0,22.50042375,29.08130933,2222.729675,2580.118677,2748.468474,2964.708412,2377.99537,2542.168194,89.27979553,247.1401957,14.24400542,35.30226556,38.59988324,138.7371978,85.91645065,399.2888509,644.7768481,138.8381617,110.3835823,106.3185632,2849.950963,1906.246524,2153.830447,1814.485978,1699.907956,1869.854069,228.299887,431.0320453,1599.404224,1247.176696,3.810908234,19.19160347,162.3271709,196.3488134,112.4597403,92.14044143,276.4250107,277.4387779,444.8027724,402.8922957,72.46455262,95.21073897,107.8897475,207.2973809,193.1549948,218.7089862,15.36060479,35.73433596,11.76435787,112.7407384,85.72227922,166.1051315,ENSMUSG00000019832,1,1,1,0,0,1,1,1,1,0,1,0,0
Tnfaip3,#N/A,4.774969192,#N/A,-3.704466725,4.760763251,0.8243603727,1.838254499,1827.357357,1301.051411,1550.855797,1744.739536,280.4790748,965.5289021,3087.922021,3180.653043,1885.685841,968.9775758,211.9018685,1144.462122,61.1355301,296.7895291,302.7329741,311.7152844,10838.6514,5377.05405,8247.478174,11814.91204,15573.14279,11925.72484,667.8128706,2106.475796,96.65575108,276.9021455,43.96097813,64.14730653,423.5175626,1800.895099,1451.008319,666.5956461,46.56807377,131.1262279,15899.07046,15572.56776,14203.83547,8272.264935,31838.94134,16431.19053,962.5037489,1623.248341,1822.393339,2329.392522,607.204712,496.4564792,357.8927626,389.2069813,194.4465186,220.7721468,7103.534636,4783.38998,8627.424561,10991.36522,331.1227474,311.1980635,409.5620512,737.1867536,682.7359717,443.0020315,193.7142938,206.4650522,178.8182397,610.8974893,674.1700084,787.2793508,ENSMUSG00000019850,1,1,1,0,1,1,1,1,1,0,1,1,1
Perp,#N/A,-7.206463423,#N/A,5.95359729,0.5162793544,-0.7776311643,-1.267765441,109.7739272,228.2546336,189.9372785,352.9567993,54.21900331,86.05166952,180.0515092,153.5311203,66.24863699,14.35522335,16728.20773,13697.90757,16442.8375,15153.31133,18323.52691,22398.96972,109.2186562,31.88480817,99.49207147,125.8522944,70.2266933,256.9757617,45.53269572,288.1549516,54.94116377,168.7889572,611.1648179,795.8741403,32.34501672,84.97685801,124.9971273,60.36441815,288.8945317,363.8457496,285.6182634,157.4961515,101.9687844,328.0481623,126.9449254,102.213281,17936.01084,7833.981948,8894.897644,8910.606179,12713.18987,12023.03453,1486.453094,2091.769359,1881.342622,1864.703587,2269.037641,2620.015229,2999.919822,2585.976428,2048.130064,2164.28115,2085.519294,1163.427436,795.5690875,1714.306181,1124.737618,1459.5491,1041.145672,377.5503797,640.2382729,485.5380765,ENSMUSG00000019851,1,1,1,0,1,1,1,1,1,0,1,1,1
Smpdl3a,-0.8271459374,#N/A,#N/A,#N/A,-2.287860897,-0.473598827,-0.8401496886,4108.005328,4858.219675,4415.145794,4644.21428,4200.930083,3832.216299,2314.396009,1842.373444,2285.097914,2250.693946,378.0521972,1613.424307,582.5342654,352.9388995,388.643683,664.3261601,468.730066,712.9443108,549.2791446,465.4000955,259.2410912,405.9586419,5597.84318,4604.169263,5046.447636,5297.546226,7847.570706,5674.798931,5180.256583,2741.783443,2387.44513,2112.754635,6741.159864,5613.620137,592.0087642,639.7602293,571.2332925,531.4964291,656.6514778,342.3333696,766.3587755,1374.615199,853.4760357,1260.772373,205.7890446,358.5799596,5283.362921,6361.701555,3743.095484,4982.88209,776.3425831,1353.728512,1228.205408,812.2205705,2512.104491,2455.202852,2437.470315,1637.416391,1658.073074,2035.389586,792.7778808,976.7385161,677.6270135,346.087848,526.834841,492.4181708,ENSMUSG00000019872,1,1,1,1,1,1,0,1,1,0,1,1,0
Ppp1r12a,#N/A,-3.950453793,#N/A,2.225049342,0.5823776946,-0.4114934278,-0.5340293346,932.1320544,1472.843057,887.8671837,1054.512906,793.4742599,342.7481752,776.6170248,396.6220609,853.5512795,509.6104288,9698.122447,7816.846381,8601.769085,12418.03486,7642.98485,9317.833269,623.4564956,876.1945286,385.5317769,554.9326003,523.7118299,622.732674,458.898149,746.6788892,1181.235021,695.0133532,411.7320879,542.2685099,707.5472407,813.9349653,908.312458,1109.842945,474.3044551,367.3897017,735.3372019,960.1834342,1382.821577,986.0913602,722.4320301,1125.157307,5779.309815,4175.813999,3164.274736,4337.020707,5537.249664,4651.943672,1882.995183,1836.952232,2564.082078,2017.054614,2992.447775,2648.082965,2998.670376,3793.366119,2936.827285,2590.966313,2811.418275,2053.175745,1895.21386,2320.176606,7590.698869,9052.698442,7645.656182,4242.198016,6748.843607,5780.262,ENSMUSG00000019907,1,1,1,0,1,1,1,1,1,0,1,1,1
Rhobtb1,#N/A,1.852434483,#N/A,-2.414246641,-0.9346816636,-0.8293667007,-0.566402923,1146.001947,242.6707157,463.1960989,744.2595224,697.548331,266.9060258,809.8454149,221.3406985,378.2893185,648.0357967,42.13957612,63.98620497,41.92150635,7.018671297,8.181972274,8.17911825,101.4173236,22.95706189,18.6547634,80.24139578,278.6654958,115.8755735,8.035181598,22.08486855,18.31372126,8.82556639,63.26091975,223.7696739,25.26954431,10.23817566,4.166570908,29.31986024,41.39384335,96.86802424,603.4334948,372.5598619,343.3642742,311.4997387,495.0852091,310.6959255,23.58027002,63.17727378,90.77432981,50.75719113,149.8957239,79.79666706,1320.26099,1345.643868,1342.986963,1262.597732,706.9422613,874.4179381,704.6875383,469.826479,1697.884726,1458.134836,1527.216037,871.1148368,918.9205445,845.0542955,754.3763688,799.655029,791.7412849,436.5426265,618.8077031,525.8357712,ENSMUSG00000019944,1,1,1,0,0,1,1,0,0,0,1,1,1
Kitl,#N/A,-2.64339344,#N/A,2.215273251,-1.271159536,-0.6151424136,-0.8749428014,4901.973647,2413.492415,3177.865692,2968.323107,9219.315908,2536.336497,2485.947232,1242.322649,2825.648386,6118.401264,869.2792559,336.940016,949.3474459,498.3256621,2294.020476,2185.642155,121.5707661,164.5256102,155.4563617,272.8207456,167.348716,259.3405693,8.927979553,96.75275748,55.95859273,94.8748387,159.7606278,217.0565837,68.73316052,134.1201012,144.7883391,103.4818597,184.5475516,209.0931743,270.0390854,233.5287764,200.8160755,336.8090924,161.5662687,636.8049648,1503.778129,496.2472956,239.762632,840.2127889,2558.389728,2906.517841,9403.381117,11338.48948,10501.5631,13246.32881,3872.302703,3792.382983,5585.023575,5184.824815,8161.320239,4726.155293,7633.985241,3957.28371,5406.427429,4032.621434,8377.503181,9691.151911,7275.078909,3643.098976,5844.294974,4329.544994,ENSMUSG00000019966,1,1,1,0,1,1,1,0,1,0,1,1,1
Pde7b,#N/A,#N/A,#N/A,#N/A,-0.710358536,-0.6142973141,-0.7054675363,110.7202542,15.6174223,44.79652794,89.76432179,56.30434959,1.458502873,133.6863137,39.66220609,48.00625869,120.9940253,54.17945501,0,0,0,16.36394455,14.54065467,3.250555243,0,0,0,0,3.941346038,136.5980872,39.96309548,172.962923,50.74700675,130.8107154,11.1884837,153.6388294,63.47668912,26.04106818,79.33609242,68.12736719,25.98898211,14.54056614,1.086180355,0,0,0,13.79068077,0,2.037976573,0,0,0,3.030253179,516.3550009,620.4622505,363.4989024,652.2813428,356.4118223,302.2679292,357.3415531,298.6294332,581.7293252,722.8963515,687.1424695,457.6846669,441.7703346,402.9829405,835.4462274,950.5333364,1049.380722,469.3160969,581.3042059,685.0608084,ENSMUSG00000019990,1,1,0,0,0,1,0,1,1,0,0,0,0
Nuak1,#N/A,3.300679561,#N/A,-4.408624802,-0.9453167999,-0.6860402683,-0.9206496936,169.3925256,163.382264,145.1407505,100.222301,51.09098388,40.10882901,126.7315344,57.57417012,111.3745202,51.2686548,4.815951556,76.13548439,27.9476709,0,18.40943762,13.63186375,319.2045248,441.2857451,111.9285804,91.2217973,217.4039123,213.6209552,55.35347323,63.09962444,25.43572397,81.63648911,34.31100732,55.94241849,5.053908862,69.61959452,66.66513453,108.6559527,15.52269126,27.17029948,486.0703538,450.7648475,529.6133804,518.8417522,540.0929554,454.2812488,5.359152276,22.41774231,2.960032494,35.34875811,55.89332077,19.19160347,2029.862623,1808.154406,1806.611311,1403.089098,856.3293947,751.3517097,1159.485879,894.6011038,1402.994255,1438.740056,1034.903597,664.9820478,650.224735,1093.544931,1326.132214,1779.569931,1211.728861,579.4349577,805.4322485,894.4122463,ENSMUSG00000020032,1,1,1,0,0,1,1,1,0,0,1,0,1
Tcp11l2,#N/A,-1.59597157,#N/A,#N/A,-0.3942914186,-0.6241818028,-0.9436904934,1445.987593,773.6630738,1232.800449,973.4635674,2005.060449,1227.330168,619.7481133,675.5369295,749.8577607,980.2566799,886.1350864,1592.365556,1029.697,1011.691334,1298.888098,1539.491813,589.6507211,123.7130557,306.7672204,363.1978967,636.5227946,410.6882571,1412.406365,1297.748943,1628.903763,1418.709797,2534.725666,2559.92507,962.2642473,1239.843073,1156.223427,882.1828538,1861.860579,2525.656535,1377.199336,1110.076323,794.9403196,1025.028827,1133.271971,1219.258423,1650.618901,1394.994965,1121.852315,1146.568693,1648.852963,1371.189564,1418.430279,1758.412707,1165.953565,1234.317003,1042.181104,1193.95832,969.5700882,1036.192645,1083.948933,1494.279653,1458.082801,802.4039071,868.2412637,947.4287145,442.0440713,503.4570888,383.5180667,220.2377215,252.7021356,218.1972733,ENSMUSG00000020034,1,1,1,0,1,1,1,1,1,0,1,1,0
Timp3,#N/A,-6.521309192,#N/A,5.139727478,0.6984100477,-0.8344960347,-1.213118209,24973.56844,4686.428029,34416.27648,29033.09336,36067.1066,8408.998316,12664.65315,11232.08088,14789.76818,20438.76192,18790.63899,14948.4734,18652.45023,24246.50133,32434.36084,36501.58717,81.91399212,77.79893194,232.1481668,499.1859464,142.6946641,550.2119069,8752.098356,5916.641452,7479.120276,5429.929722,11420.20434,9138.753484,6707.547841,4337.915029,3577.001125,2813.844234,9085.948616,7239.112836,742.6074849,376.9045833,162.3176569,652.2025778,355.4457912,324.4866063,17143.92813,10444.62994,5502.700406,8220.852207,25613.11424,25228.37284,15069.37237,17965.4801,26512.20238,24137.14653,28025.96725,36893.95982,32320.66887,38555.37678,25401.84505,18300.73824,32499.95336,13357.87056,12806.55864,16566.97303,27073.91932,30421.83134,20260.57713,8605.002403,13521.79661,11410.1448,ENSMUSG00000020044,1,1,1,0,1,1,1,1,1,0,1,1,1
Igf1,#N/A,3.397756624,#N/A,#N/A,-1.283127677,-0.8188442196,-1.030469136,0,0,0.8959305588,0,0,0,33.22839011,70.36843015,19.20250348,0,0,73.70562851,0,0,33.75063563,8.17911825,174.229761,392.8208367,250.8029302,247.4813575,45.5726414,111.1459583,13.39196933,8.413283259,0,70.60453112,27.87769345,15.66387718,34.36658026,23.54780403,104.1642727,13.79758129,5.174230419,3.543952106,15.57917801,43.44721422,24.97194721,29.2031005,26.54302986,73.82070293,52.51969231,62.15828549,154.9083672,221.1563328,0,0,149.9593865,195.476152,131.3239547,158.7369981,36.46457587,70.16934071,79.96454336,74.6573583,87.56133442,126.066071,94.27259491,41.925313,63.1100478,68.87006373,332.8131039,420.8710679,262.3451806,128.4720042,190.196307,177.8995787,ENSMUSG00000020053,1,0,0,0,0,1,1,0,0,0,1,0,0
Ddx21,#N/A,1.470176363,#N/A,#N/A,1.376214659,1.035282945,0.7983780765,299.9856459,217.442572,387.9379319,549.9154082,308.6312496,246.4869856,760.3892063,777.8910097,647.1243671,625.4775886,328.6886937,464.102474,639.3029719,204.544135,268.9823385,402.5943761,950.462353,1284.320073,1164.886337,1087.904397,936.1068799,977.4538174,252.6618213,196.6604962,182.1197836,271.3861665,189.7827593,481.8506979,311.3207859,578.456925,552.0706454,716.6118783,344.9486946,460.7137738,471.5297876,1013.406272,747.0774207,848.8367878,695.8890002,735.7733798,545.5617017,645.0195855,665.0206336,583.707698,696.1259041,570.1926399,1120.830466,1285.430232,1401.0307,1738.808726,3448.843112,3052.906085,3553.424395,4340.424348,1184.594145,1202.47637,1394.186931,3045.408153,2511.014932,2194.535274,715.1214899,871.123701,767.0361333,1440.721761,1454.599925,1199.102132,ENSMUSG00000020075,1,1,1,0,1,1,1,1,1,0,1,1,0
